id anexLCA anhrLCA ancpLCA antdLCA andeLCA anpfCA anrcLCA anofLCA antgLCA anasLCA
1 2 1 1 2 1 2 1 2 2 2
2 1 1 1 1 1 1 1 2 2 2
3 2 1 1 1 1 1 1 2 1 2
4 1 1 1 1 1 1 1 2 2 2
5 2 1 1 1 2 1 1 2 1 2
6 1 1 1 1 1 2 2 2 2 2
7 2 1 2 1 1 1 1 2 2 2
8 1 1 1 1 1 1 1 2 2 2
9 1 1 1 1 1 1 1 2 2 2
10 1 1 1 1 1 1 1 1 1 2
11 1 1 1 1 1 2 1 2 2 2
12 1 1 1 1 1 1 1 1 1 2
13 1 1 1 1 1 1 1 2 2 2
14 1 1 1 1 1 1 1 2 2 2
15 1 1 1 1 1 1 1 2 2 2
16 1 1 1 1 1 1 1 2 2 2
17 2 1 1 1 1 1 1 2 1 2
18 2 1 1 1 1 2 1 2 2 2
19 2 1 1 1 1 1 1 2 1 2
20 1 1 1 1 1 1 1 1 1 1
21 2 1 1 1 1 1 2 2 2 2
22 1 1 2 1 1 1 1 2 2 2
23 1 1 1 2 1 1 2 2 2 2
24 2 1 1 1 1 2 1 2 2 2
25 2 1 1 1 1 1 1 1 2 2
26 2 1 1 1 1 1 1 1 2 2
27 2 1 1 2 1 2 1 2 2 2
28 2 1 1 1 1 2 1 2 2 2
29 2 1 1 1 1 1 1 2 1 2
30 1 1 1 1 1 1 1 1 2 2
31 2 1 1 1 1 1 1 2 2 1
32 2 2 1 1 1 1 1 2 1 2
33 1 1 1 1 1 2 1 2 2 2
34 1 1 1 1 2 2 1 1 2 2
35 1 1 1 1 1 1 1 2 2 2
36 1 1 1 1 1 1 1 2 2 2
37 1 1 1 1 1 1 1 2 2 2
38 2 1 1 1 1 1 1 1 1 1
39 2 1 1 1 1 2 1 2 2 2
40 1 1 1 1 1 1 1 2 1 2
41 1 2 1 1 2 1 1 2 1 2
42 1 1 1 2 1 1 1 2 2 2
43 1 1 1 1 1 1 2 2 1 2
44 2 1 1 1 1 1 2 1 2 2
45 2 2 1 1 1 1 1 1 1 2
46 1 1 1 1 1 2 1 2 2 2
47 2 2 2 1 2 1 1 2 2 2
48 2 2 2 1 1 1 1 1 2 2
49 1 1 1 1 1 1 1 2 2 2
50 1 1 1 1 1 1 1 2 1 2
51 2 2 1 1 1 2 1 2 2 2
52 1 1 1 1 1 1 2 2 1 2
53 2 1 1 1 2 1 2 2 2 2
54 1 1 1 1 1 1 2 2 1 2
55 1 1 1 1 1 1 1 2 2 2
56 1 2 1 1 1 1 2 2 2 2
57 2 1 1 1 1 2 2 2 2 2
58 1 1 1 1 1 1 1 2 2 1
59 2 1 1 1 1 2 1 2 2 2
60 1 1 1 1 1 1 1 1 1 2
61 1 1 1 1 1 1 2 2 1 2
62 1 1 1 1 1 1 2 2 1 2
63 1 1 1 1 1 1 2 2 1 2
64 2 2 1 1 2 2 2 2 2 2
65 1 1 1 2 1 1 2 2 2 2
66 2 2 1 1 2 2 1 2 2 2
67 1 1 1 1 1 1 2 2 1 2
68 1 1 1 1 1 1 2 2 2 2
69 1 1 1 1 1 1 2 2 2 2
70 1 1 1 1 1 1 1 2 1 2
71 1 1 1 1 1 1 2 2 2 2
72 1 1 1 1 1 1 2 2 2 2
73 2 1 1 1 1 2 1 2 2 2
74 2 1 1 1 1 2 2 2 2 2
75 2 2 1 1 1 1 1 2 1 2
76 2 1 1 1 1 1 2 2 2 2
77 2 1 1 1 1 1 2 2 1 2
78 1 1 1 1 1 1 1 2 2 2
79 1 1 1 1 2 1 1 1 2 2
80 1 1 2 1 1 2 1 1 2 1
81 2 2 1 1 1 1 1 2 1 2
82 2 1 1 1 1 1 1 1 1 2
83 1 1 1 1 1 2 1 1 2 2
84 2 1 1 1 2 2 2 2 2 2
85 1 1 1 1 1 1 1 1 1 1
86 2 2 1 1 1 1 2 2 2 2
87 2 2 1 1 2 1 1 2 2 2
88 1 1 1 2 1 1 1 1 2 1
89 1 1 1 1 1 2 1 2 1 2
90 1 1 1 1 1 2 1 2 1 2
91 2 1 1 1 1 1 1 1 2 2
92 1 1 1 1 2 1 1 2 2 2
93 1 1 1 1 1 1 1 2 1 2
94 2 2 1 1 2 2 1 2 2 2
95 1 1 1 1 1 1 2 2 2 2
96 1 1 1 1 1 2 2 1 2 2
97 1 2 1 1 1 1 1 2 2 2
98 1 1 1 1 1 1 2 2 2 2
99 1 1 1 1 1 1 1 2 2 2
100 1 1 1 1 2 2 1 2 2 2
